ID	Document
D156	rappel requete classement algorithme collection inverse recherche indexation moteur texte
D157	pertinent requete precision recherche moteur index web systeme terme document indexation inverse
D158	inverse algorithme web collection index
D159	index texte pertinent requete resultat classement
D160	requete collection terme texte web moteur resultat
D161	information algorithme precision terme pertinent index texte inverse
D162	utilisateur pertinent recherche classement moteur inverse terme document requete precision
D163	utilisateur classement systeme document rappel recherche inverse
D164	index utilisateur pertinent information classement
D165	recherche web collection systeme information moteur document indexation resultat
D166	document requete moteur index web utilisateur information
D167	inverse information classement collection systeme texte terme web index
D168	texte pertinent requete utilisateur precision document classement index terme indexation web
D169	index requete moteur web systeme rappel resultat
D170	utilisateur algorithme resultat indexation texte classement
D171	pertinent moteur precision resultat terme requete classement collection indexation inverse texte
D172	resultat web algorithme systeme recherche precision requete classement index information document
D173	inverse algorithme precision collection moteur utilisateur requete resultat classement
D174	texte moteur systeme recherche resultat
D175	information document systeme requete pertinent indexation utilisateur rappel moteur web inverse resultat
D176	pertinent algorithme precision information index
D177	rappel classement moteur inverse systeme algorithme terme
D178	recherche classement index pertinent document systeme algorithme utilisateur information
D179	inverse index pertinent classement recherche web
D180	texte information pertinent utilisateur systeme inverse document rappel requete moteur precision resultat
D181	web moteur recherche indexation algorithme systeme
D182	indexation precision rappel index classement inverse moteur web
D183	algorithme classement collection requete texte index
D184	resultat web algorithme moteur recherche precision
D185	pertinent algorithme texte recherche utilisateur precision terme web rappel classement inverse resultat
D186	moteur resultat algorithme requete recherche document indexation precision texte pertinent
D187	precision texte systeme document indexation terme rappel classement resultat utilisateur
D188	resultat moteur requete utilisateur texte information web terme inverse index
D189	systeme indexation precision rappel requete document collection algorithme utilisateur web texte index
D190	information recherche indexation inverse pertinent terme
D191	classement systeme terme inverse precision information
D192	texte web document information requete precision recherche
D193	resultat collection recherche indexation terme information
D194	texte moteur rappel index precision algorithme inverse web terme resultat pertinent utilisateur
D195	web precision index document recherche terme resultat
D196	index information moteur recherche collection texte
D197	algorithme rappel document terme indexation precision collection web resultat requete inverse
D198	index algorithme classement precision collection indexation utilisateur requete
D199	document resultat web texte systeme utilisateur information
D200	precision utilisateur pertinent rappel classement systeme recherche
D201	recherche inverse utilisateur requete texte collection indexation information document moteur
D202	rappel algorithme inverse precision utilisateur index
D203	rappel pertinent classement requete recherche
D204	terme web requete index systeme
D205	moteur index rappel terme information
D206	classement document information collection algorithme index utilisateur precision
D207	rappel classement moteur requete information algorithme
D208	classement precision inverse collection web
D209	utilisateur inverse recherche information rappel texte resultat web pertinent requete systeme index
D210	rappel classement information texte precision
D211	web systeme rappel moteur pertinent inverse information
D212	collection index terme web information pertinent resultat classement utilisateur recherche
D213	web rappel information recherche inverse systeme precision algorithme
D214	moteur resultat indexation utilisateur information
D215	collection inverse utilisateur moteur texte algorithme terme information web classement
D216	requete rappel index classement collection resultat
D217	resultat utilisateur collection algorithme inverse requete moteur indexation
D218	information collection web classement requete systeme
D219	moteur precision inverse utilisateur index information indexation collection
D220	information inverse resultat rappel pertinent recherche algorithme
D221	requete systeme texte utilisateur document
D222	requete texte classement recherche algorithme
D223	resultat information inverse index texte document terme precision requete recherche moteur
D224	rappel collection recherche terme requete
D225	recherche terme web rappel information texte classement requete
D226	utilisateur rappel resultat web requete document index inverse collection pertinent algorithme
D227	requete systeme document inverse utilisateur
D228	algorithme texte information requete collection moteur terme resultat web utilisateur
D229	pertinent utilisateur terme requete indexation
D230	resultat recherche systeme algorithme rappel precision indexation inverse terme requete pertinent index
D231	algorithme document requete terme systeme
D232	indexation requete algorithme rappel classement document pertinent terme resultat collection utilisateur recherche
D233	pertinent information indexation precision resultat utilisateur rappel recherche
D234	information requete algorithme recherche collection rappel classement precision
D235	collection pertinent document precision resultat information requete classement
D236	index terme collection web document algorithme systeme moteur
D237	recherche terme collection algorithme web resultat precision
D238	classement utilisateur recherche indexation collection rappel moteur document algorithme resultat
D239	systeme index terme precision collection pertinent
D240	algorithme information moteur texte document systeme pertinent utilisateur requete precision collection
D241	rappel pertinent precision information classement terme requete web inverse indexation moteur
D242	algorithme utilisateur inverse terme rappel texte resultat indexation
D243	resultat terme pertinent inverse systeme collection index indexation
D244	collection rappel precision document systeme terme
D245	systeme inverse resultat web algorithme utilisateur precision document requete pertinent index texte
D246	utilisateur terme algorithme pertinent document index resultat requete classement
D247	index indexation resultat recherche algorithme information systeme moteur requete inverse rappel document
D248	web recherche indexation document moteur
D249	web collection moteur texte inverse algorithme rappel information indexation resultat utilisateur
D250	information document collection resultat web terme
D251	web utilisateur classement moteur indexation collection texte algorithme requete information document recherche
D252	resultat texte terme systeme indexation requete collection utilisateur moteur information
D253	utilisateur classement terme information web moteur indexation index
D254	indexation moteur information index web requete algorithme utilisateur texte systeme
D255	collection utilisateur indexation pertinent algorithme moteur
D256	resultat inverse indexation utilisateur requete precision texte information pertinent terme moteur document
D257	index rappel precision indexation recherche utilisateur
D258	rappel systeme index recherche classement
D259	collection index utilisateur web resultat
D260	resultat utilisateur pertinent rappel systeme classement index
D261	requete document moteur systeme pertinent indexation texte information collection classement web resultat
D262	precision terme requete resultat document collection systeme
D263	information web pertinent precision terme rappel algorithme requete classement collection
D264	recherche inverse moteur texte algorithme
D265	requete classement moteur algorithme indexation collection inverse rappel
D266	index document precision systeme recherche rappel information
D267	rappel index indexation information web collection moteur utilisateur algorithme terme texte pertinent
D268	classement precision indexation utilisateur inverse resultat moteur terme systeme collection
D269	systeme collection rappel classement utilisateur information pertinent resultat moteur index inverse
D270	inverse web pertinent indexation resultat precision terme information classement index
D271	classement systeme web inverse recherche moteur resultat
D272	web information rappel terme requete precision indexation index
D273	resultat web texte requete information moteur inverse collection pertinent indexation recherche
D274	resultat web inverse indexation index texte terme information utilisateur
D275	moteur rappel recherche algorithme texte information classement collection indexation web
D276	information precision index collection rappel document
D277	inverse utilisateur indexation collection terme index pertinent requete precision web recherche
D278	recherche precision pertinent algorithme texte
D279	information indexation utilisateur rappel recherche pertinent terme texte collection resultat classement moteur
D280	texte systeme moteur requete document information
D281	precision web recherche rappel moteur information
D282	index utilisateur terme web recherche moteur resultat inverse pertinent information precision
D283	texte utilisateur web document inverse index requete moteur classement systeme rappel algorithme
D284	texte recherche classement systeme collection precision requete rappel
D285	resultat inverse recherche texte algorithme classement
D286	classement algorithme pertinent utilisateur terme document texte systeme information collection
D287	index classement inverse document moteur systeme utilisateur
D288	precision algorithme inverse information classement moteur index resultat collection indexation document recherche
D289	algorithme web recherche requete index texte precision resultat inverse systeme
D290	terme inverse systeme resultat classement requete precision collection texte information rappel index
D291	texte moteur recherche indexation pertinent document
D292	resultat pertinent information web classement document terme texte
D293	moteur rappel web texte recherche systeme information index resultat terme collection requete
D294	systeme collection indexation moteur utilisateur requete terme pertinent classement rappel
D295	classement resultat index terme moteur document requete collection inverse
D296	terme web indexation moteur classement
D297	recherche utilisateur index rappel pertinent requete
D298	terme pertinent information resultat indexation rappel classement systeme requete algorithme web recherche
D299	requete utilisateur web algorithme collection precision texte index
D300	rappel systeme index document moteur information collection pertinent classement
D301	requete algorithme pertinent moteur texte indexation utilisateur
D302	systeme classement index indexation recherche texte pertinent web information
D303	moteur indexation classement recherche terme information precision
D304	precision resultat web classement terme moteur requete
D305	inverse rappel texte algorithme precision collection
D306	collection utilisateur precision terme document resultat algorithme pertinent classement rappel moteur systeme
D307	rappel resultat classement requete pertinent precision index terme indexation document recherche
D308	resultat collection web index precision classement indexation document algorithme recherche
D309	resultat collection precision index recherche utilisateur moteur indexation
D310	collection requete precision recherche algorithme rappel
D311	classement texte information requete precision terme recherche utilisateur web
D312	systeme resultat classement indexation rappel collection web terme requete information recherche precision
D313	systeme moteur indexation algorithme document
D314	pertinent information resultat algorithme terme precision web requete moteur systeme utilisateur
D315	terme systeme indexation collection recherche
D316	web information document index moteur collection classement algorithme rappel inverse recherche
D317	systeme index precision web indexation terme collection recherche moteur
D318	rappel collection pertinent terme resultat utilisateur web algorithme information
D319	document pertinent systeme indexation rappel classement precision utilisateur terme recherche resultat collection
D320	collection resultat document inverse utilisateur web terme algorithme
D321	moteur utilisateur information texte algorithme document systeme resultat
D322	web inverse index requete rappel document moteur systeme collection algorithme
D323	document classement collection rappel precision texte terme requete inverse
D324	information algorithme texte moteur index collection classement
D325	utilisateur index terme precision requete information classement texte pertinent moteur
D326	resultat requete information pertinent indexation inverse document systeme
D327	collection algorithme texte information terme systeme precision classement indexation recherche
D328	web classement terme rappel pertinent document indexation
D329	indexation resultat rappel systeme recherche inverse texte utilisateur algorithme
D330	texte classement inverse requete collection utilisateur indexation rappel terme index moteur
D331	inverse precision pertinent web algorithme
D332	algorithme texte recherche indexation precision resultat moteur utilisateur collection
D333	algorithme moteur systeme terme information classement rappel texte
D334	collection resultat texte indexation algorithme recherche terme
D335	index indexation utilisateur rappel document classement pertinent
D336	web document inverse moteur collection recherche rappel algorithme
D337	pertinent classement rappel texte index resultat inverse terme algorithme web
D338	pertinent texte moteur terme rappel index algorithme indexation
D339	web texte rappel document collection inverse terme classement utilisateur
D340	inverse indexation systeme collection precision
D341	precision recherche texte document inverse systeme classement pertinent algorithme rappel
D342	web document terme texte indexation index algorithme moteur precision
D343	classement information requete web indexation document index terme rappel algorithme inverse
D344	collection pertinent texte recherche indexation classement
D345	algorithme precision texte resultat recherche inverse terme
D346	web information utilisateur systeme requete collection terme algorithme rappel inverse classement
D347	classement terme rappel collection pertinent texte document index requete resultat
D348	moteur recherche terme requete index precision
D349	web information resultat utilisateur algorithme classement systeme inverse texte indexation recherche terme
D350	web terme utilisateur recherche requete document moteur indexation index
D351	resultat terme utilisateur information pertinent
D352	information rappel texte inverse indexation systeme requete resultat document collection
D353	web requete collection resultat inverse precision systeme rappel algorithme utilisateur classement recherche
D354	terme collection information moteur pertinent index
D355	terme utilisateur web texte recherche document
D356	document web pertinent index requete moteur utilisateur classement texte
D357	information collection classement index web moteur algorithme rappel
D358	requete precision information texte indexation terme moteur
D359	recherche web index systeme algorithme terme document moteur texte
D360	systeme terme pertinent inverse precision recherche collection indexation rappel information utilisateur moteur
D361	algorithme web terme texte classement resultat requete recherche indexation collection rappel utilisateur
D362	moteur resultat classement index indexation terme precision systeme web recherche utilisateur information
D363	rappel collection document index algorithme moteur resultat texte indexation inverse terme recherche
D364	systeme algorithme indexation collection web index texte
D365	utilisateur rappel classement inverse texte
D366	texte pertinent algorithme systeme index rappel information
D367	indexation systeme texte web collection rappel pertinent index utilisateur
D368	terme collection pertinent systeme texte rappel web index inverse
D369	utilisateur resultat indexation rappel texte moteur recherche requete precision inverse document information
D370	algorithme web systeme rappel index terme recherche utilisateur pertinent document texte
D371	systeme algorithme web recherche terme utilisateur
D372	indexation algorithme classement document collection recherche rappel utilisateur
D373	rappel precision index indexation resultat algorithme collection pertinent document inverse texte
D374	moteur utilisateur document recherche index algorithme inverse web pertinent terme
D375	inverse indexation resultat precision pertinent texte utilisateur algorithme document classement systeme information
D376	information web precision classement texte
D377	web requete rappel pertinent recherche inverse
D378	information utilisateur texte systeme collection index classement requete terme web inverse resultat
D379	pertinent moteur requete systeme indexation classement
D380	terme moteur inverse classement index algorithme information indexation systeme web rappel
D381	inverse requete terme utilisateur resultat indexation texte systeme collection moteur precision rappel
D382	moteur systeme precision utilisateur recherche
D383	collection algorithme systeme utilisateur precision rappel document classement
D384	classement resultat utilisateur moteur precision document rappel systeme index
D385	inverse recherche index utilisateur moteur precision algorithme classement indexation
D386	classement indexation collection moteur terme requete algorithme index inverse systeme document
D387	indexation classement texte recherche document systeme pertinent moteur web collection algorithme rappel
D388	index collection classement resultat recherche web
D389	index collection information texte pertinent indexation requete rappel
D390	rappel systeme algorithme document information inverse utilisateur requete pertinent
D391	requete indexation inverse rappel resultat document recherche utilisateur
D392	rappel requete document index systeme resultat classement algorithme moteur
D393	index inverse algorithme classement resultat
D394	rappel information terme document index inverse
D395	resultat document classement index pertinent requete
D396	systeme classement utilisateur recherche web algorithme information collection
D397	index algorithme resultat recherche requete texte systeme utilisateur moteur inverse document indexation
D398	precision utilisateur algorithme requete inverse indexation moteur terme systeme collection web classement
D399	indexation classement recherche terme algorithme inverse
D400	indexation document web utilisateur pertinent resultat rappel
D401	terme rappel indexation index pertinent texte classement web moteur requete collection algorithme
D402	pertinent utilisateur index moteur terme document systeme texte rappel resultat classement algorithme
D403	precision classement web requete inverse resultat moteur algorithme rappel indexation
D404	utilisateur terme collection algorithme resultat moteur index
D405	web recherche texte information systeme indexation terme rappel document inverse moteur
D406	index systeme requete utilisateur collection
D407	terme web texte systeme index
D408	systeme precision resultat requete pertinent information classement document
D409	classement algorithme systeme information texte collection resultat inverse pertinent moteur
D410	information pertinent systeme terme requete classement indexation inverse moteur rappel texte
D411	document terme web moteur precision utilisateur classement
D412	rappel document resultat inverse terme utilisateur requete texte
D413	rappel precision utilisateur recherche moteur texte resultat information collection
D414	collection resultat index indexation terme inverse pertinent algorithme precision systeme
D415	requete systeme recherche moteur pertinent terme index web
D416	classement information precision algorithme collection recherche utilisateur index resultat requete indexation
D417	utilisateur algorithme terme document precision systeme information requete web texte classement rappel
D418	algorithme resultat index document web classement
D419	resultat systeme moteur terme document classement precision utilisateur indexation
D420	precision web recherche texte utilisateur rappel classement index resultat collection pertinent indexation
D421	moteur requete inverse terme resultat precision classement pertinent utilisateur indexation collection
D422	index moteur systeme utilisateur indexation information recherche
D423	moteur rappel collection document terme
D424	inverse index algorithme utilisateur indexation rappel moteur pertinent texte classement
D425	moteur resultat pertinent texte recherche
D426	index texte information resultat precision systeme pertinent web classement utilisateur rappel terme
D427	precision algorithme systeme pertinent indexation texte rappel
D428	classement collection terme web index pertinent
D429	precision collection classement requete pertinent inverse
D430	recherche texte web algorithme pertinent
D431	collection utilisateur document web algorithme pertinent systeme information terme precision
D432	classement recherche requete terme information document web pertinent resultat utilisateur algorithme
D433	precision moteur algorithme classement information recherche utilisateur
D434	utilisateur collection web indexation rappel document resultat requete
D435	indexation collection pertinent systeme recherche inverse rappel
D436	texte collection requete terme recherche systeme classement indexation web
D437	information moteur web systeme texte classement utilisateur collection requete document terme precision
D438	collection inverse document web rappel
D439	classement resultat web algorithme moteur rappel
D440	utilisateur classement algorithme requete moteur
D441	rappel collection pertinent classement precision algorithme web utilisateur systeme document
D442	precision moteur algorithme inverse document collection information resultat
D443	utilisateur pertinent inverse rappel requete document collection terme moteur indexation precision
D444	moteur terme web collection systeme utilisateur precision recherche rappel
D445	information index indexation recherche moteur terme precision texte pertinent document algorithme
D446	recherche algorithme classement rappel collection pertinent terme utilisateur index inverse
D447	resultat requete rappel systeme pertinent collection moteur terme
D448	terme indexation requete systeme classement texte rappel inverse precision information
D449	precision requete document collection web terme recherche algorithme rappel information
D450	resultat pertinent algorithme utilisateur moteur web indexation classement
D451	web rappel document precision indexation index systeme requete pertinent algorithme collection recherche
D452	collection precision moteur algorithme information texte requete indexation
D453	precision indexation collection algorithme pertinent terme document resultat
D454	moteur rappel web index requete recherche precision systeme
D455	precision web classement resultat terme document collection moteur recherche information texte
D456	index document information web moteur algorithme inverse resultat pertinent
D457	indexation web texte index inverse algorithme systeme information pertinent moteur document
D458	pertinent algorithme moteur index resultat document terme rappel indexation recherche information
D459	precision pertinent classement inverse resultat moteur web information requete
D460	moteur document terme requete information index web systeme classement rappel inverse resultat
D461	classement utilisateur inverse precision pertinent information collection
D462	inverse classement web rappel information terme algorithme texte moteur collection
D463	precision terme web requete collection information recherche resultat classement
D464	inverse algorithme classement systeme web terme moteur information collection precision requete index
D465	information pertinent algorithme rappel precision texte classement indexation utilisateur terme collection
D466	texte information collection resultat precision utilisateur web requete recherche index terme
D467	index algorithme indexation recherche terme
D468	utilisateur web recherche resultat requete indexation
D469	collection inverse requete resultat information indexation algorithme systeme terme moteur
D470	index rappel algorithme terme texte classement indexation
D471	classement document terme collection inverse indexation web
D472	pertinent document texte terme classement precision algorithme rappel index
D473	requete classement collection terme resultat algorithme indexation texte
D474	indexation terme recherche pertinent index utilisateur moteur
D475	rappel systeme indexation texte document pertinent information web collection
D476	requete moteur terme collection texte document index information precision algorithme utilisateur
D477	terme inverse resultat information algorithme requete
D478	requete recherche classement inverse precision pertinent resultat
D479	index moteur recherche utilisateur inverse rappel web precision classement collection systeme requete
D480	web indexation precision texte rappel collection moteur resultat
D481	requete web collection rappel inverse indexation systeme resultat information document
D482	inverse rappel moteur pertinent classement requete indexation information utilisateur precision
D483	rappel inverse resultat requete information algorithme utilisateur systeme texte web
D484	document indexation recherche resultat information precision algorithme inverse collection systeme classement
D485	document requete algorithme recherche classement index collection texte systeme resultat
D486	resultat utilisateur rappel algorithme terme pertinent precision texte
D487	moteur rappel terme recherche information collection texte indexation utilisateur classement algorithme
D488	precision web indexation index inverse utilisateur
D489	indexation recherche classement pertinent terme information resultat
D490	algorithme texte web systeme classement document rappel indexation resultat information moteur
D491	indexation web requete classement document precision moteur index pertinent collection
D492	document terme resultat pertinent requete recherche utilisateur rappel classement texte
D493	pertinent indexation recherche precision rappel classement algorithme index moteur resultat
D494	document indexation index classement algorithme requete pertinent precision information terme
D495	systeme collection indexation resultat rappel requete document
D496	recherche information rappel pertinent utilisateur resultat moteur algorithme indexation terme document requete
D497	pertinent classement index moteur terme inverse algorithme
D498	resultat pertinent rappel document terme algorithme indexation precision systeme inverse collection
D499	information collection systeme classement pertinent web requete rappel terme algorithme indexation
D500	rappel index utilisateur terme moteur inverse texte pertinent classement precision algorithme
D501	web texte document classement recherche inverse information indexation requete resultat utilisateur
D502	utilisateur classement systeme information precision pertinent algorithme moteur rappel collection requete
D503	terme information rappel recherche algorithme moteur index
D504	collection rappel information web indexation requete classement terme
D505	index pertinent resultat indexation inverse
D506	document index classement algorithme recherche rappel precision pertinent collection information
D507	recherche inverse terme indexation texte web pertinent precision index
D508	moteur systeme inverse requete web
D509	index requete web recherche rappel classement systeme resultat moteur
D510	classement requete recherche texte information collection precision inverse
D511	inverse document pertinent rappel indexation resultat texte
D512	document indexation rappel terme algorithme collection moteur precision resultat index web requete
D513	utilisateur algorithme requete pertinent precision index web classement information
D514	index moteur precision information classement inverse rappel web pertinent recherche systeme document
D515	document inverse web collection resultat precision
D516	resultat information precision index rappel collection indexation
D517	algorithme recherche moteur terme requete
D518	collection resultat index information texte rappel document
D519	precision document inverse indexation index systeme terme collection rappel
D520	resultat document inverse precision utilisateur
D521	moteur rappel terme information pertinent algorithme precision
D522	precision rappel recherche indexation terme systeme algorithme document information classement pertinent
D523	texte recherche information systeme pertinent
D524	information algorithme rappel document recherche terme web inverse
D525	utilisateur texte resultat inverse classement systeme moteur indexation terme precision collection
D526	resultat rappel collection inverse moteur classement terme
D527	texte requete indexation collection recherche index systeme
D528	moteur information resultat web inverse index document terme indexation
D529	texte web algorithme resultat precision inverse index classement
D530	terme systeme texte moteur index pertinent resultat collection web utilisateur
D531	systeme collection resultat web algorithme terme moteur pertinent
D532	moteur classement pertinent resultat utilisateur precision web texte algorithme index recherche
D533	index terme rappel indexation texte resultat requete systeme
D534	resultat recherche index texte indexation moteur collection
D535	texte algorithme index moteur web indexation inverse
D536	moteur classement terme precision information rappel algorithme texte
D537	document recherche algorithme information terme web
D538	terme collection index moteur rappel precision
D539	collection terme resultat classement algorithme systeme
D540	utilisateur systeme pertinent indexation moteur document index
D541	rappel web indexation classement requete collection
D542	pertinent moteur resultat systeme information document index inverse
D543	classement indexation recherche collection resultat utilisateur systeme document inverse rappel precision
D544	terme document collection algorithme indexation precision utilisateur moteur systeme index
D545	pertinent index terme utilisateur document indexation precision
D546	recherche algorithme web indexation collection rappel moteur pertinent requete resultat classement systeme
D547	terme indexation information inverse utilisateur moteur precision index algorithme recherche resultat web
D548	terme rappel information moteur recherche collection
D549	utilisateur texte index classement algorithme
D550	information requete texte terme collection rappel algorithme resultat index classement indexation
D551	collection requete rappel index classement moteur resultat
D552	resultat document terme precision pertinent recherche
D553	pertinent inverse document indexation collection information rappel
D554	document systeme recherche rappel terme web utilisateur information
D555	algorithme resultat terme pertinent precision recherche collection
D556	index document indexation algorithme precision recherche systeme
D557	index information document texte terme classement requete pertinent
D558	index classement indexation algorithme utilisateur collection terme precision recherche inverse document requete
D559	document indexation index requete moteur
D560	pertinent document index indexation terme texte systeme algorithme
