ID	Document
D140	utilisateur indexation texte precision systeme collection information terme moteur algorithme classement pertinent
D141	moteur classement systeme resultat collection index algorithme requete
D142	rappel index inverse document resultat requete collection indexation information utilisateur web recherche
D143	algorithme rappel moteur indexation terme web requete inverse
D144	index algorithme classement document resultat texte
D145	resultat moteur precision web systeme
D146	rappel resultat utilisateur recherche texte
D147	recherche index document information web indexation collection precision requete
D148	document classement information utilisateur web
D149	moteur web collection texte resultat algorithme index
D150	document rappel moteur collection pertinent systeme requete index web resultat classement
D151	recherche utilisateur resultat web texte
D152	inverse resultat collection moteur requete pertinent rappel texte
D153	information web recherche inverse index systeme
D154	systeme information resultat algorithme inverse collection
D155	texte resultat inverse index information
D156	precision utilisateur inverse terme systeme pertinent moteur
D157	precision inverse web utilisateur requete recherche classement
D158	web rappel classement information collection terme resultat
D159	precision terme web rappel moteur classement index document requete inverse pertinent
D160	utilisateur moteur resultat information web index requete classement
D161	texte inverse requete index terme classement information
D162	collection document rappel index information moteur precision terme utilisateur systeme recherche classement
D163	algorithme rappel index classement systeme web indexation moteur
D164	index systeme pertinent classement inverse
D165	texte inverse rappel terme utilisateur index algorithme requete
D166	utilisateur requete collection precision classement inverse information texte rappel resultat
D167	index collection terme web information utilisateur precision pertinent algorithme document
D168	requete rappel web utilisateur moteur
D169	terme inverse texte algorithme classement requete systeme web
D170	requete classement algorithme resultat indexation collection texte rappel document precision
D171	indexation rappel information precision algorithme web resultat classement terme recherche collection index
D172	inverse document moteur recherche index requete systeme
D173	information classement algorithme recherche precision requete resultat index rappel collection
D174	rappel utilisateur recherche precision web texte document information resultat
D175	inverse index precision requete collection moteur texte
D176	document collection texte resultat inverse algorithme pertinent moteur terme information recherche
D177	texte systeme algorithme classement information terme
D178	indexation document classement web terme
D179	precision information inverse index classement moteur
D180	document requete rappel information indexation
D181	recherche index moteur texte document rappel classement utilisateur pertinent precision
D182	rappel terme texte moteur document requete collection indexation recherche information index
D183	document terme texte algorithme recherche precision moteur rappel
D184	classement inverse collection texte web document terme utilisateur systeme index information moteur
D185	document systeme requete moteur texte collection classement terme
D186	texte terme collection pertinent document recherche moteur
D187	collection requete pertinent moteur document classement index inverse algorithme systeme terme web
D188	recherche document collection algorithme terme web
D189	recherche utilisateur web texte document collection requete pertinent algorithme rappel classement
D190	indexation moteur requete utilisateur rappel inverse document information web index algorithme
D191	utilisateur classement document collection requete pertinent precision terme inverse systeme texte
D192	resultat pertinent moteur utilisateur recherche index indexation precision
D193	terme resultat systeme web moteur classement indexation utilisateur collection pertinent inverse
D194	indexation texte terme utilisateur classement precision algorithme pertinent systeme index
D195	texte collection pertinent index indexation terme systeme requete recherche
D196	index resultat utilisateur document web terme inverse precision algorithme moteur pertinent collection
D197	web texte document resultat classement utilisateur index
D198	rappel information collection document pertinent texte classement terme resultat indexation precision
D199	algorithme texte terme web pertinent
D200	pertinent requete inverse precision rappel
D201	collection texte resultat precision moteur indexation recherche inverse information classement index systeme
D202	moteur collection utilisateur terme resultat texte
D203	precision classement collection algorithme pertinent inverse rappel web
D204	terme document utilisateur information pertinent recherche web indexation systeme precision algorithme classement
D205	rappel indexation terme web resultat pertinent texte
D206	indexation systeme web texte recherche collection utilisateur pertinent inverse rappel index
D207	recherche index algorithme requete document utilisateur information texte precision classement indexation
D208	index resultat pertinent requete classement precision terme indexation utilisateur systeme
D209	algorithme pertinent collection rappel resultat utilisateur document terme precision moteur classement
D210	moteur terme pertinent inverse utilisateur information
D211	collection moteur precision texte web utilisateur document
D212	web indexation classement algorithme precision inverse moteur document texte rappel resultat
D213	collection recherche classement moteur index
D214	rappel precision classement web systeme index collection inverse texte document information
D215	inverse utilisateur information requete systeme
D216	indexation resultat classement precision pertinent utilisateur information moteur requete
D217	rappel information resultat index web algorithme collection terme pertinent moteur
D218	resultat requete collection document systeme
D219	inverse index collection web indexation utilisateur
D220	index systeme information collection requete utilisateur classement
D221	terme utilisateur algorithme requete pertinent document texte
D222	information requete moteur rappel inverse document collection indexation pertinent terme index
D223	moteur algorithme requete web texte inverse information terme precision index rappel systeme
D224	resultat classement terme recherche document collection inverse rappel texte indexation
D225	rappel texte index web systeme inverse
D226	terme utilisateur systeme moteur classement texte indexation rappel recherche
D227	pertinent resultat recherche systeme indexation
D228	resultat recherche web index moteur systeme terme classement document texte information indexation
D229	document collection indexation information texte terme moteur algorithme classement
D230	web document pertinent recherche index inverse information algorithme
D231	precision resultat recherche rappel terme web information index
D232	classement document inverse texte algorithme collection precision
D233	pertinent terme collection utilisateur moteur index
D234	moteur document precision recherche indexation inverse classement
D235	moteur web resultat index document rappel information classement
D236	algorithme texte collection web terme systeme
D237	inverse requete document systeme utilisateur texte collection
D238	utilisateur index precision rappel algorithme
D239	utilisateur information inverse classement texte algorithme pertinent rappel terme systeme resultat
D240	collection terme moteur texte web
D241	rappel indexation classement document recherche utilisateur information systeme moteur pertinent
D242	information texte precision utilisateur web
D243	texte document rappel moteur requete information precision resultat classement pertinent algorithme
D244	texte algorithme document utilisateur web collection classement pertinent recherche systeme
D245	web pertinent resultat information utilisateur terme
D246	pertinent recherche moteur algorithme indexation inverse classement
D247	indexation collection moteur requete pertinent texte recherche systeme index
D248	precision document requete algorithme classement inverse rappel indexation recherche
D249	algorithme indexation collection systeme requete texte information utilisateur terme web pertinent classement
D250	information recherche inverse systeme classement
D251	texte moteur indexation information web pertinent rappel resultat index classement
D252	document algorithme collection pertinent information systeme precision texte requete
D253	texte document resultat utilisateur precision
D254	document rappel resultat recherche collection pertinent moteur utilisateur web texte
D255	resultat collection classement index inverse document recherche precision
D256	inverse rappel collection recherche terme
D257	texte utilisateur pertinent index inverse
D258	classement information moteur requete document recherche pertinent precision index indexation inverse
D259	algorithme pertinent precision moteur texte information
D260	web moteur inverse utilisateur requete
D261	texte terme algorithme resultat requete pertinent information precision document utilisateur
D262	moteur pertinent indexation resultat precision rappel
D263	pertinent rappel collection index resultat moteur inverse classement information algorithme document
D264	systeme information index terme moteur algorithme collection pertinent indexation
D265	precision information utilisateur requete indexation recherche index inverse systeme collection pertinent
D266	resultat pertinent moteur algorithme recherche classement
D267	moteur index texte collection document utilisateur resultat systeme
D268	recherche document index resultat moteur information
D269	pertinent information resultat algorithme indexation rappel utilisateur index collection texte
D270	recherche texte web indexation collection pertinent document moteur algorithme inverse rappel systeme
D271	utilisateur classement web algorithme information precision moteur index
D272	web index precision inverse recherche algorithme texte
D273	classement rappel systeme collection terme index moteur document recherche indexation
D274	recherche requete information classement collection texte utilisateur pertinent
D275	pertinent inverse algorithme requete information texte systeme
D276	collection indexation algorithme inverse terme texte systeme web rappel utilisateur recherche
D277	algorithme systeme moteur index classement requete rappel document inverse recherche
D278	information inverse algorithme recherche classement precision
D279	systeme index moteur terme indexation resultat texte classement recherche collection
D280	algorithme moteur pertinent precision collection information indexation
D281	algorithme pertinent terme utilisateur rappel document resultat collection index classement inverse
D282	indexation rappel collection inverse systeme index moteur algorithme texte web
D283	indexation recherche texte information systeme utilisateur classement
D284	algorithme pertinent classement moteur terme collection information systeme
D285	terme indexation document systeme resultat recherche moteur pertinent texte information
D286	requete pertinent recherche information texte inverse collection index document classement
D287	texte collection rappel systeme pertinent web inverse precision utilisateur terme classement document
D288	document information utilisateur recherche terme moteur algorithme web indexation systeme index classement
D289	rappel document terme classement recherche index
D290	systeme web indexation information pertinent rappel classement
D291	web rappel algorithme requete utilisateur moteur pertinent information
D292	texte algorithme rappel classement moteur
D293	collection recherche web document utilisateur
D294	index pertinent recherche systeme indexation terme moteur information inverse texte web precision
D295	classement requete document texte indexation systeme index resultat rappel inverse recherche moteur
D296	resultat requete inverse algorithme information document texte collection terme classement web indexation
D297	algorithme inverse rappel information texte web requete index resultat terme systeme
D298	classement utilisateur document texte information requete algorithme resultat
D299	pertinent resultat indexation rappel index texte systeme
D300	information web document algorithme index precision terme
D301	systeme requete terme document precision index algorithme
D302	rappel terme requete precision resultat classement web recherche collection utilisateur algorithme
D303	pertinent web moteur rappel systeme resultat information utilisateur algorithme precision requete
D304	web requete texte classement precision recherche document moteur index systeme
D305	information texte terme inverse systeme collection precision moteur indexation recherche resultat
D306	utilisateur requete classement pertinent inverse document moteur collection rappel
D307	requete web document index resultat pertinent algorithme precision collection inverse
D308	information precision indexation document utilisateur collection requete index algorithme web
D309	indexation index algorithme information inverse
D310	resultat information collection index requete
D311	resultat precision texte pertinent recherche algorithme indexation inverse utilisateur rappel
D312	classement algorithme rappel collection precision document web
D313	document utilisateur recherche texte information systeme web algorithme pertinent
D314	inverse index requete web recherche precision texte resultat
D315	classement moteur indexation recherche inverse
D316	systeme utilisateur requete web texte precision indexation inverse moteur
D317	resultat utilisateur precision texte pertinent recherche requete terme
D318	rappel utilisateur algorithme pertinent classement information indexation moteur terme web
D319	requete utilisateur index moteur inverse resultat recherche texte algorithme
D320	terme moteur recherche classement utilisateur algorithme index web texte rappel precision
D321	terme inverse rappel classement collection requete moteur document
D322	utilisateur pertinent classement moteur requete collection texte
D323	terme document inverse collection rappel precision web
D324	web terme collection requete utilisateur inverse systeme information resultat
D325	algorithme systeme document classement index
D326	texte precision utilisateur web information algorithme
D327	moteur index terme web resultat document indexation
D328	document classement terme indexation rappel algorithme recherche
D329	resultat requete index indexation precision
D330	document moteur web rappel texte index inverse resultat recherche collection requete pertinent
D331	recherche terme precision index systeme algorithme classement resultat collection pertinent
D332	collection utilisateur moteur pertinent texte requete algorithme rappel
D333	document information utilisateur rappel resultat collection requete
D334	web moteur terme classement collection texte pertinent document index recherche
D335	inverse moteur index recherche indexation information classement collection
D336	texte requete rappel information precision
D337	recherche information pertinent web resultat index
D338	rappel requete classement moteur index collection
D339	utilisateur web pertinent precision requete
D340	web pertinent precision algorithme utilisateur information texte
D341	classement index algorithme requete rappel indexation
D342	utilisateur indexation information classement index collection inverse algorithme pertinent recherche terme
D343	pertinent algorithme classement moteur document texte
D344	pertinent requete inverse resultat utilisateur moteur
D345	information pertinent indexation systeme utilisateur rappel texte terme resultat index precision classement
D346	recherche moteur indexation terme collection
D347	systeme requete document collection terme rappel information index texte inverse moteur precision
D348	web indexation pertinent moteur information systeme document classement index utilisateur inverse terme
D349	systeme texte collection recherche moteur inverse resultat
D350	web resultat information document requete terme
D351	recherche precision inverse terme pertinent index algorithme collection classement rappel
D352	texte moteur rappel information recherche terme document requete inverse collection
D353	document classement terme inverse rappel moteur recherche
D354	rappel texte algorithme inverse document precision resultat systeme
D355	document classement resultat terme pertinent inverse collection precision recherche information index utilisateur
D356	rappel systeme recherche document utilisateur
D357	resultat terme collection information inverse web classement indexation
D358	collection resultat pertinent rappel inverse recherche indexation web terme moteur requete utilisateur
D359	pertinent information indexation classement moteur web collection resultat texte index
D360	requete index algorithme pertinent texte precision
D361	index terme pertinent web information resultat algorithme precision utilisateur classement inverse collection
D362	classement recherche precision information web systeme utilisateur
D363	precision indexation algorithme moteur pertinent index terme utilisateur texte rappel requete resultat
D364	systeme inverse requete texte terme moteur algorithme precision document collection index
D365	rappel terme systeme index precision pertinent utilisateur collection moteur
D366	moteur indexation precision terme pertinent texte algorithme requete inverse utilisateur
D367	rappel utilisateur web recherche pertinent precision index document resultat terme collection
D368	requete indexation utilisateur systeme moteur web recherche collection
D369	index rappel information collection resultat algorithme utilisateur terme precision
D370	rappel texte inverse precision utilisateur collection terme recherche
D371	texte web terme information recherche collection moteur pertinent utilisateur inverse systeme
D372	algorithme rappel index systeme utilisateur inverse document terme information web
D373	precision pertinent texte information web moteur requete
D374	moteur indexation requete recherche terme inverse collection document precision
D375	terme information utilisateur classement collection algorithme texte
D376	precision inverse indexation systeme document texte requete classement index web
D377	document collection inverse index terme indexation resultat moteur pertinent utilisateur requete
D378	rappel recherche pertinent collection resultat systeme terme utilisateur texte classement algorithme indexation
D379	pertinent texte requete utilisateur recherche resultat rappel algorithme indexation web terme
D380	classement information utilisateur index terme requete algorithme web document resultat systeme recherche
D381	index systeme web pertinent algorithme requete
D382	document moteur recherche resultat terme rappel information web precision systeme algorithme
D383	algorithme inverse requete web texte systeme
D384	web terme recherche texte pertinent requete rappel algorithme collection utilisateur information
D385	document collection precision pertinent utilisateur
D386	systeme document utilisateur resultat texte index web terme recherche
D387	indexation rappel inverse moteur texte classement resultat requete precision terme document collection
D388	recherche rappel algorithme moteur pertinent systeme resultat utilisateur texte index
D389	utilisateur index collection algorithme web resultat
D390	indexation systeme inverse requete index information document
D391	rappel resultat systeme document utilisateur
D392	requete pertinent index classement terme indexation
D393	inverse pertinent utilisateur document index indexation systeme
D394	terme utilisateur moteur collection systeme index document recherche indexation pertinent classement resultat
D395	collection moteur terme classement resultat inverse indexation texte algorithme
D396	rappel pertinent indexation document requete web resultat precision classement algorithme moteur information
D397	recherche precision systeme texte index resultat
D398	rappel requete systeme classement moteur
D399	texte inverse utilisateur moteur resultat requete classement information index indexation
D400	inverse indexation precision moteur resultat
D401	indexation algorithme moteur classement collection recherche pertinent
D402	inverse document requete collection systeme recherche terme pertinent rappel indexation index classement
D403	information systeme terme pertinent requete web collection moteur utilisateur classement resultat document
D404	texte collection document precision requete index pertinent classement resultat indexation terme
D405	classement recherche precision moteur resultat document pertinent information requete terme rappel web
D406	indexation systeme collection pertinent inverse index texte
D407	pertinent classement algorithme rappel index utilisateur document terme precision recherche
D408	information moteur indexation algorithme systeme resultat utilisateur document
D409	indexation requete systeme precision texte
D410	utilisateur document index resultat classement
D411	indexation inverse web moteur systeme utilisateur terme requete precision document classement algorithme
D412	inverse texte algorithme moteur pertinent recherche
D413	precision systeme web moteur pertinent document inverse utilisateur
D414	rappel precision pertinent document classement
D415	systeme rappel recherche web precision indexation classement
D416	precision web inverse classement texte
D417	algorithme systeme pertinent web moteur classement inverse texte rappel information
D418	systeme rappel web requete index recherche collection algorithme resultat
D419	precision recherche texte index terme systeme
D420	pertinent moteur web requete precision rappel classement index utilisateur indexation
D421	texte index web classement indexation precision requete rappel inverse
D422	utilisateur algorithme collection texte moteur web resultat terme information
D423	resultat indexation pertinent index texte classement algorithme systeme
D424	indexation texte recherche document moteur
D425	systeme web document rappel requete pertinent indexation information utilisateur recherche index collection
D426	systeme information indexation classement resultat recherche pertinent terme requete
D427	index information precision rappel inverse utilisateur document terme recherche
D428	inverse recherche indexation document requete texte index rappel terme web
D429	algorithme index precision recherche document resultat information requete moteur texte utilisateur
D430	collection requete inverse index resultat classement precision utilisateur recherche moteur
D431	web precision pertinent document utilisateur indexation information
D432	rappel algorithme requete resultat texte utilisateur inverse classement pertinent
D433	resultat systeme recherche classement pertinent moteur information index terme precision
D434	terme web collection precision recherche rappel algorithme moteur
D435	utilisateur document texte terme algorithme requete classement inverse
D436	collection index requete indexation algorithme inverse systeme pertinent texte web
D437	index inverse systeme algorithme collection document texte information web
D438	classement recherche rappel information systeme indexation
D439	classement algorithme requete systeme indexation texte rappel moteur index pertinent
D440	information precision web classement systeme requete indexation
D441	indexation resultat pertinent precision algorithme systeme collection recherche texte terme rappel
D442	algorithme pertinent terme collection requete document classement moteur systeme texte inverse
D443	collection indexation classement web index rappel systeme texte algorithme precision
D444	requete resultat indexation moteur inverse web information collection precision pertinent systeme
D445	texte index moteur rappel classement systeme recherche document algorithme inverse resultat
D446	classement utilisateur requete information texte precision collection document recherche pertinent
D447	classement pertinent resultat terme requete indexation rappel systeme texte
D448	collection recherche web pertinent systeme rappel terme utilisateur precision
D449	utilisateur collection terme precision classement texte algorithme
D450	document texte utilisateur resultat moteur web systeme terme indexation index rappel algorithme
D451	document indexation terme inverse rappel algorithme
D452	requete texte systeme resultat collection classement utilisateur rappel inverse
D453	indexation systeme recherche moteur inverse terme precision collection texte information pertinent
D454	texte pertinent algorithme document classement requete recherche
D455	texte precision document pertinent requete
D456	document texte utilisateur inverse precision collection moteur
D457	moteur systeme precision indexation recherche classement terme rappel texte inverse web requete
D458	rappel resultat moteur indexation algorithme terme collection classement utilisateur
D459	precision rappel utilisateur collection classement requete pertinent texte information inverse moteur
D460	web requete moteur utilisateur recherche classement algorithme texte document indexation
D461	classement rappel recherche systeme precision moteur algorithme texte index
D462	systeme inverse recherche collection index classement requete resultat texte
D463	indexation texte algorithme inverse requete information index terme
D464	precision requete utilisateur algorithme web pertinent classement information
D465	moteur utilisateur pertinent resultat precision systeme collection
D466	index terme recherche moteur information requete rappel document classement precision algorithme texte
D467	recherche inverse document moteur systeme algorithme pertinent indexation index precision resultat texte
D468	information terme document moteur systeme precision texte index classement requete inverse rappel
D469	requete texte recherche pertinent inverse index algorithme classement
D470	information index resultat pertinent algorithme inverse classement terme
D471	terme indexation information precision pertinent moteur inverse systeme resultat
D472	collection information index pertinent inverse terme rappel indexation
D473	indexation requete pertinent texte inverse
D474	information algorithme classement moteur collection
D475	inverse indexation classement document terme resultat
D476	information collection moteur pertinent rappel
D477	inverse terme rappel collection resultat precision pertinent recherche classement index indexation document
D478	information classement resultat utilisateur algorithme pertinent precision document requete
D479	terme resultat requete indexation document rappel classement inverse moteur collection
D480	resultat recherche precision texte indexation systeme algorithme utilisateur classement rappel
D481	terme document rappel texte index requete systeme inverse
D482	systeme utilisateur terme web rappel information resultat
D483	information moteur indexation systeme index precision
D484	index pertinent information texte classement requete utilisateur collection web moteur recherche indexation
D485	systeme document recherche index classement resultat web information
D486	information collection rappel web algorithme texte classement recherche utilisateur moteur requete resultat
D487	utilisateur document index precision pertinent information
D488	rappel texte index systeme inverse utilisateur terme document
D489	pertinent algorithme collection resultat web precision information document texte requete index
D490	indexation rappel resultat collection terme requete systeme web index classement
D491	terme inverse rappel index texte classement requete collection moteur indexation algorithme
D492	texte recherche information utilisateur algorithme requete document moteur classement systeme pertinent precision
D493	recherche requete rappel precision moteur information systeme inverse indexation document
D494	requete collection inverse rappel systeme texte moteur
D495	algorithme texte index document terme systeme
D496	indexation classement pertinent utilisateur information collection texte precision index algorithme recherche systeme
D497	web systeme pertinent inverse recherche terme texte resultat index classement
D498	precision information terme moteur rappel requete collection pertinent document
D499	texte resultat precision document inverse
D500	utilisateur texte moteur rappel terme information inverse systeme collection recherche requete
D501	requete document texte precision web rappel collection algorithme resultat inverse systeme
D502	classement texte index precision inverse pertinent information moteur
D503	terme algorithme document pertinent web index indexation classement precision texte systeme
D504	utilisateur indexation collection resultat moteur
D505	information inverse index collection moteur texte precision systeme resultat recherche pertinent document
D506	recherche terme pertinent utilisateur resultat inverse systeme indexation rappel
D507	index rappel precision requete classement utilisateur collection document
D508	texte algorithme precision information requete
D509	information utilisateur index requete systeme inverse terme
D510	document texte requete collection pertinent
D511	utilisateur texte inverse algorithme pertinent
D512	classement rappel document indexation index requete inverse resultat collection recherche
D513	inverse precision utilisateur terme classement
D514	indexation recherche collection rappel precision terme moteur pertinent requete web algorithme
D515	texte recherche rappel requete inverse document indexation index terme
D516	document texte precision inverse web pertinent utilisateur
D517	web utilisateur terme resultat moteur pertinent rappel
D518	algorithme rappel index moteur utilisateur collection resultat
D519	web moteur indexation terme document requete resultat
D520	indexation terme moteur recherche algorithme resultat
D521	web utilisateur resultat requete moteur texte pertinent information document collection recherche
D522	systeme algorithme inverse rappel precision terme recherche indexation information
D523	moteur precision classement collection indexation web index inverse texte document terme pertinent
D524	information web recherche requete algorithme pertinent collection terme
D525	index document indexation resultat classement collection rappel inverse
D526	web texte information algorithme terme index utilisateur collection
D527	precision pertinent resultat rappel information
D528	precision rappel texte information algorithme requete classement terme
D529	index utilisateur resultat texte algorithme
D530	resultat indexation web utilisateur information collection requete document inverse
D531	document precision pertinent indexation moteur index resultat algorithme inverse recherche systeme collection
D532	resultat document requete terme indexation collection systeme information
D533	pertinent resultat collection document texte rappel
D534	texte rappel systeme information indexation resultat classement
D535	indexation moteur systeme information web algorithme resultat
D536	utilisateur indexation pertinent moteur index recherche systeme texte precision resultat inverse web
D537	rappel recherche classement inverse index utilisateur terme precision texte systeme collection information
D538	inverse rappel requete index information
D539	moteur information collection algorithme systeme web recherche
D540	terme document information pertinent web algorithme resultat systeme moteur
D541	resultat algorithme collection information document texte moteur
D542	collection texte document web rappel moteur inverse classement information resultat
D543	precision web systeme index rappel utilisateur recherche information resultat terme
D544	classement utilisateur web terme requete systeme
D545	moteur algorithme classement precision rappel inverse texte document utilisateur pertinent
D546	index recherche pertinent algorithme resultat terme texte information collection
D547	systeme web algorithme information terme indexation requete texte
D548	recherche index utilisateur requete document moteur resultat precision
D549	recherche pertinent terme rappel texte collection utilisateur web systeme document
D550	terme systeme classement rappel information algorithme document inverse
D551	resultat rappel terme systeme web precision collection
D552	precision utilisateur terme recherche index
